"actual_water_demand","linear_regression_prediction","random_forest_prediction","locality","timestamp","linear_residual","rf_residual","linear_absolute_error","rf_absolute_error","linear_squared_error","rf_squared_error"
10.170169,1.86468184240727,1.44242799833333,"Zone_C","2025-09-26 11:30:00",8.30548715759273,8.72774100166667,8.30548715759273,8.72774100166667,68.9811169249378,76.1734629921735
9.599325,2.25406394620616,2.14657781166667,"Zone_C","2025-09-29 08:30:00",7.34526105379384,7.45274718833333,7.34526105379384,7.45274718833333,53.9528599483806,55.5434406532104
9.22341,1.84636532792433,1.84369394433333,"Zone_C","2025-09-26 11:00:00",7.37704467207567,7.37971605566667,7.37704467207567,7.37971605566667,54.4207880938,54.4602090622644
8.360883,1.81837321646311,1.86450700233333,"Zone_C","2025-09-19 11:15:00",6.54250978353689,6.49637599766667,6.54250978353689,6.49637599766667,42.8044342676759,42.2029011030596
7.396878,1.3620916348088,1.26114268266667,"Zone_A","2025-09-26 11:30:00",6.0347863651912,6.13573531733333,6.0347863651912,6.13573531733333,36.4186464734976,37.6472478843715
7.362377,1.72966104908725,1.64875126333333,"Zone_A","2025-09-29 08:30:00",5.63271595091275,5.71362573666667,5.63271595091275,5.71362573666667,31.7274889836669,32.6455190586997
9.886713,6.41728143572017,4.26604350166667,"Zone_C","2025-09-29 08:45:00",3.46943156427983,5.62066949833333,3.46943156427983,5.62066949833333,12.0369553792212,31.5919256094947
9.513328,3.8203679472527,4.03647957533333,"Zone_C","2025-09-09 14:00:00",5.6929600527473,5.47684842466667,5.6929600527473,5.47684842466667,32.4097941621765,29.9958686667738
6.708289,1.3654957647906,1.27528361866667,"Zone_A","2025-09-26 11:00:00",5.3427932352094,5.43300538133333,5.3427932352094,5.43300538133333,28.5454395541993,29.5175474735969
6.266799,1.15631720069965,1.20843954633333,"Zone_E","2025-09-26 11:30:00",5.11048179930035,5.05835945366667,5.11048179930035,5.05835945366667,26.1170242209801,25.587000362499
8.079272,3.85822322517914,3.022708824,"Zone_C","2025-09-29 09:15:00",4.22104877482086,5.056563176,4.22104877482086,5.056563176,17.8172527594167,25.5688311528792
6.237569,1.46742941648958,1.38009882666667,"Zone_E","2025-09-29 08:30:00",4.77013958351042,4.85747017333333,4.77013958351042,4.85747017333333,22.754231646173,23.5950164848229
6.080963,1.33038488229776,1.34250657466667,"Zone_A","2025-09-19 11:15:00",4.75057811770224,4.73845642533333,4.75057811770224,4.73845642533333,22.5679924523914,22.4529692947827
5.919944,1.09359138960741,1.18907622966667,"Zone_B","2025-09-26 11:30:00",4.82635261039259,4.73086777033333,4.82635261039259,4.73086777033333,23.2936795198434,22.3811098603787
6.557729,2.67206751480454,1.84567719433333,"Zone_A","2025-09-09 14:00:00",3.88566148519546,4.71205180566667,3.88566148519546,4.71205180566667,15.0983651775314,22.2034322192865
5.683411,1.15988399802715,1.110486302,"Zone_E","2025-09-26 11:00:00",4.52352700197285,4.572924698,4.52352700197285,4.572924698,20.4622965375775,20.9116402935784
5.368846,1.08262149986787,1.05604206166667,"Zone_B","2025-09-26 11:00:00",4.28622450013213,4.31280393833333,4.28622450013213,4.31280393833333,18.3717204655329,18.6002778105035
5.549728,1.25406865058719,1.25336682166667,"Zone_B","2025-09-29 08:30:00",4.29565934941281,4.29636117833333,4.29565934941281,4.29636117833333,18.4526892461977,18.4587193746898
5.151927,1.12906265075217,1.11371072166667,"Zone_E","2025-09-19 11:15:00",4.02286434924783,4.03821627833333,4.02286434924783,4.03821627833333,16.1834375724492,16.3071907105963
0.249886,7.05392205843728,4.277047623,"Zone_C","2025-09-26 11:15:00",-6.80403605843728,-4.027161623,6.80403605843728,4.027161623,46.2949066845147,16.218030737764
