"timestamp","locality","zone_type","water_demand","area_km2","population","population_density","residential_pct","commercial_pct","industrial_pct","storage_capacity_mld","pipeline_age_years","distribution_efficiency","temperature_c","humidity_pct","rainfall_mm","wind_speed_kmh","is_rain_event","is_holiday","is_weekend","festival_period","hour","minute","day_of_week","month","year","water_supply_hours","lag_1","lag_4","lag_96","lag_672","rolling_mean_4","rolling_mean_96","rolling_mean_672","rolling_sd_96","rolling_sd_672","hour_sin","hour_cos","dow_sin","dow_cos","month_sin","month_cos","temperature_humidity_index","heavy_rain_event","high_wind_event","high_temperature_event","storage_per_1000_people","supply_efficiency_index","infrastructure_stress","land_use_total_pct","dominant_land_use"
2025-10-02,"Zone_A","Residential",0.869602,10.5,72000,6857.143,82,13,5,24,11,0.91,26.4,70.63,0,11.809,0,0,0,0,0,0,4,10,2025,10.408,0.858226,0.971538,0.90432,0.790018,0.900907,1.3779759375,1.42850708482143,0.366259105079014,0.644102584749863,0,1,0.433883739117558,-0.900968867902419,-1,-1.83690953073357e-16,18.64632,0,0,0,0.333333333333333,9.47128,0.99,100,"Residential"
2025-10-02,"Zone_A","Residential",0.833494,10.5,72000,6857.143,82,13,5,24,11,0.91,26.944,66.976,0,3.922,0,0,0,0,0,15,4,10,2025,10.663,0.869602,0.900503,0.894094,0.788891,0.875423,1.37761429166667,1.42862551339286,0.36674853140942,0.643992320310913,0,1,0.433883739117558,-0.900968867902419,-1,-1.83690953073357e-16,18.04601344,0,0,0,0.333333333333333,9.70333,0.99,100,"Residential"
2025-10-02,"Zone_A","Residential",0.847366,10.5,72000,6857.143,82,13,5,24,11,0.91,27.933,62.052,0,8.695,0,0,0,0,0,30,4,10,2025,10.087,0.833494,0.873361,0.871464,0.80056,0.85867075,1.37698304166667,1.42869188690476,0.367640597784559,0.643928582734821,0,1,0.433883739117558,-0.900968867902419,-1,-1.83690953073357e-16,17.33298516,0,0,0,0.333333333333333,9.17917,0.99,100,"Residential"
2025-10-02,"Zone_A","Residential",0.83811,10.5,72000,6857.143,82,13,5,24,11,0.91,27.335,64.483,0,11.953,0,0,0,0,0,45,4,10,2025,10.027,0.847366,0.858226,0.81687,0.825339,0.852172,1.37673202083333,1.42876153869048,0.367997447480821,0.643863066470881,0,1,0.433883739117558,-0.900968867902419,-1,-1.83690953073357e-16,17.62642805,0,0,0,0.333333333333333,9.12457,0.99,100,"Residential"
2025-10-02,"Zone_A","Residential",0.82039,10.5,72000,6857.143,82,13,5,24,11,0.91,25.784,74.963,0,15.236,0,0,0,0,1,0,4,10,2025,10.176,0.83811,0.869602,0.854221,0.765252,0.847143,1.37695327083333,1.42878054315476,0.367663533655189,0.643845417352751,0.258819045102521,0.965925826289068,0.433883739117558,-0.900968867902419,-1,-1.83690953073357e-16,19.32845992,0,0,0,0.333333333333333,9.26016,0.99,100,"Residential"
2025-10-02,"Zone_A","Residential",0.802565,10.5,72000,6857.143,82,13,5,24,11,0.91,26.733,71.347,0,9.152,0,0,0,0,1,15,4,10,2025,10.453,0.82039,0.833494,0.880643,0.852059,0.83484,1.37660086458333,1.42886259375,0.368185690469207,0.643764240583505,0.258819045102521,0.965925826289068,0.433883739117558,-0.900968867902419,-1,-1.83690953073357e-16,19.07319351,0,0,0,0.333333333333333,9.51223,0.99,100,"Residential"
2025-10-02,"Zone_A","Residential",0.865692,10.5,72000,6857.143,82,13,5,24,11,0.91,26.706,57.872,0,12.744,0,0,0,0,1,30,4,10,2025,9.91,0.802565,0.847366,0.773163,0.777725,0.82710775,1.37578755208333,1.42878894196429,0.369377089049143,0.643833157448181,0.258819045102521,0.965925826289068,0.433883739117558,-0.900968867902419,-1,-1.83690953073357e-16,15.45529632,0,0,0,0.333333333333333,9.0181,0.99,100,"Residential"
2025-10-02,"Zone_A","Residential",0.778806,10.5,72000,6857.143,82,13,5,24,11,0.91,27.133,62.599,0,7.155,0,0,0,0,1,45,4,10,2025,9.998,0.865692,0.83811,0.837556,0.846073,0.83168925,1.37675139583333,1.4289198452381,0.367905854087885,0.643709517536469,0.258819045102521,0.965925826289068,0.433883739117558,-0.900968867902419,-1,-1.83690953073357e-16,16.98498667,0,0,0,0.333333333333333,9.09818,0.99,100,"Residential"
2025-10-02,"Zone_A","Residential",0.851583,10.5,72000,6857.143,82,13,5,24,11,0.91,26.156,72.091,0,11.146,0,0,0,0,2,0,4,10,2025,10.122,0.778806,0.82039,0.846624,0.842328,0.81686325,1.37613941666667,1.42881974553571,0.368859825430622,0.643805510898476,0.5,0.866025403784439,0.433883739117558,-0.900968867902419,-1,-1.83690953073357e-16,18.85612196,0,0,0,0.333333333333333,9.21102,0.99,100,"Residential"
2025-10-02,"Zone_A","Residential",0.869855,10.5,72000,6857.143,82,13,5,24,11,0.91,26.349,75.339,0,15.078,0,0,0,0,2,15,4,10,2025,10.474,0.851583,0.802565,0.790722,0.751394,0.8246615,1.37619107291667,1.42883351785714,0.368785229599224,0.643793044809313,0.5,0.866025403784439,0.433883739117558,-0.900968867902419,-1,-1.83690953073357e-16,19.85107311,0,0,0,0.333333333333333,9.53134,0.99,100,"Residential"
