timestamp,value
2023-12-31T23:00:00+00:00,2.445626
2023-12-31T23:15:00+00:00,2.073085
2023-12-31T23:30:00+00:00,2.268278
2023-12-31T23:45:00+00:00,2.090929
2024-01-01T00:00:00+00:00,2.49783
2024-01-01T00:15:00+00:00,2.561126
2024-01-01T00:30:00+00:00,2.091049
2024-01-01T00:45:00+00:00,2.020882
2024-01-01T01:00:00+00:00,1.591436
2024-01-01T01:15:00+00:00,2.092376
2024-01-01T01:30:00+00:00,1.627001
2024-01-01T01:45:00+00:00,2.024016
2024-01-01T02:00:00+00:00,1.355011
2024-01-01T02:15:00+00:00,1.049262
2024-01-01T02:30:00+00:00,0.904466
2024-01-01T02:45:00+00:00,1.036241
2024-01-01T03:00:00+00:00,0.971499
2024-01-01T03:15:00+00:00,1.114728
2024-01-01T03:30:00+00:00,0.92038
2024-01-01T03:45:00+00:00,0.863715
2024-01-01T04:00:00+00:00,1.11292
2024-01-01T04:15:00+00:00,1.134018
2024-01-01T04:30:00+00:00,1.169464
2024-01-01T04:45:00+00:00,0.707104
2024-01-01T05:00:00+00:00,0.678289
2024-01-01T05:15:00+00:00,0.736521
2024-01-01T05:30:00+00:00,0.785349
2024-01-01T05:45:00+00:00,1.902127
2024-01-01T06:00:00+00:00,2.590543
2024-01-01T06:15:00+00:00,2.149282
2024-01-01T06:30:00+00:00,2.996118
2024-01-01T06:45:00+00:00,3.199388
2024-01-01T07:00:00+00:00,4.037785
2024-01-01T07:15:00+00:00,4.936343
2024-01-01T07:30:00+00:00,5.284288
2024-01-01T07:45:00+00:00,5.687813
2024-01-01T08:00:00+00:00,6.856916
2024-01-01T08:15:00+00:00,5.575931
2024-01-01T08:30:00+00:00,6.039617
2024-01-01T08:45:00+00:00,5.094039
2024-01-01T09:00:00+00:00,5.139371
2024-01-01T09:15:00+00:00,6.811222
2024-01-01T09:30:00+00:00,6.734544
2024-01-01T09:45:00+00:00,7.314092
2024-01-01T10:00:00+00:00,7.372444
2024-01-01T10:15:00+00:00,6.008512
2024-01-01T10:30:00+00:00,5.103805
2024-01-01T10:45:00+00:00,5.082465
2024-01-01T11:00:00+00:00,3.878038
2024-01-01T11:15:00+00:00,5.546513
2024-01-01T11:30:00+00:00,5.284529
2024-01-01T11:45:00+00:00,5.129847
2024-01-01T12:00:00+00:00,4.726201
2024-01-01T12:15:00+00:00,5.445602
2024-01-01T12:30:00+00:00,4.968533
2024-01-01T12:45:00+00:00,5.546393
2024-01-01T13:00:00+00:00,4.236232
2024-01-01T13:15:00+00:00,3.721788
2024-01-01T13:30:00+00:00,4.462529
2024-01-01T13:45:00+00:00,3.106674
2024-01-01T14:00:00+00:00,3.474513
2024-01-01T14:15:00+00:00,3.974248
2024-01-01T14:30:00+00:00,4.558497
2024-01-01T14:45:00+00:00,3.226997
2024-01-01T15:00:00+00:00,3.099802
2024-01-01T15:15:00+00:00,3.808112
2024-01-01T15:30:00+00:00,3.153935
2024-01-01T15:45:00+00:00,3.493924
2024-01-01T16:00:00+00:00,4.034409
2024-01-01T16:15:00+00:00,3.306689
2024-01-01T16:30:00+00:00,3.633777
2024-01-01T16:45:00+00:00,3.332972
2024-01-01T17:00:00+00:00,3.1977
2024-01-01T17:15:00+00:00,3.772304
2024-01-01T17:30:00+00:00,3.508512
2024-01-01T17:45:00+00:00,4.898606
2024-01-01T18:00:00+00:00,5.303819
2024-01-01T18:15:00+00:00,4.180773
2024-01-01T18:30:00+00:00,4.076606
2024-01-01T18:45:00+00:00,3.114632
2024-01-01T19:00:00+00:00,2.93873
2024-01-01T19:15:00+00:00,3.060981
2024-01-01T19:30:00+00:00,3.459925
2024-01-01T19:45:00+00:00,2.307461
2024-01-01T20:00:00+00:00,2.750289
2024-01-01T20:15:00+00:00,2.520496
2024-01-01T20:30:00+00:00,3.095221
2024-01-01T20:45:00+00:00,3.627749
2024-01-01T21:00:00+00:00,2.362679
2024-01-01T21:15:00+00:00,2.577643
2024-01-01T21:30:00+00:00,2.565948
2024-01-01T21:45:00+00:00,2.255377
2024-01-01T22:00:00+00:00,1.843292
2024-01-01T22:15:00+00:00,2.655527
2024-01-01T22:30:00+00:00,1.978685
2024-01-01T22:45:00+00:00,2.430917
2024-01-01T23:00:00+00:00,1.586251
2024-01-01T23:15:00+00:00,1.527899
2024-01-01T23:30:00+00:00,1.233001
2024-01-01T23:45:00+00:00,1.591194
2024-01-02T00:00:00+00:00,1.548756
2024-01-02T00:15:00+00:00,0.912664
2024-01-02T00:30:00+00:00,1.491729
2024-01-02T00:45:00+00:00,1.468943
2024-01-02T01:00:00+00:00,1.044078
2024-01-02T01:15:00+00:00,0.612703
2024-01-02T01:30:00+00:00,0.953294
2024-01-02T01:45:00+00:00,0.59076
2024-01-02T02:00:00+00:00,0.685041
2024-01-02T02:15:00+00:00,0.956549
2024-01-02T02:30:00+00:00,0.811753
2024-01-02T02:45:00+00:00,0.801746
2024-01-02T03:00:00+00:00,1.255787
2024-01-02T03:15:00+00:00,1.273872
2024-01-02T03:30:00+00:00,1.283517
2024-01-02T03:45:00+00:00,0.837432
2024-01-02T04:00:00+00:00,1.133656
2024-01-02T04:15:00+00:00,0.863715
2024-01-02T04:30:00+00:00,1.426987
2024-01-02T04:45:00+00:00,1.521026
2024-01-02T05:00:00+00:00,1.871021
2024-01-02T05:15:00+00:00,1.529225
2024-01-02T05:30:00+00:00,3.790148
2024-01-02T05:45:00+00:00,3.557219
2024-01-02T06:00:00+00:00,2.865668
2024-01-02T06:15:00+00:00,3.671634
2024-01-02T06:30:00+00:00,3.622565
2024-01-02T06:45:00+00:00,3.731554
2024-01-02T07:00:00+00:00,4.156419
2024-01-02T07:15:00+00:00,4.361497
2024-01-02T07:30:00+00:00,4.491585
2024-01-02T07:45:00+00:00,3.928313
2024-01-02T08:00:00+00:00,4.629991
2024-01-02T08:15:00+00:00,4.683763
2024-01-02T08:30:00+00:00,6.387804
2024-01-02T08:45:00+00:00,5.75979
2024-01-02T09:00:00+00:00,5.995612
2024-01-02T09:15:00+00:00,4.364873
2024-01-02T09:30:00+00:00,3.552517
2024-01-02T09:45:00+00:00,4.19729
2024-01-02T10:00:00+00:00,4.618658
2024-01-02T10:15:00+00:00,4.841821
2024-01-02T10:30:00+00:00,4.701606
2024-01-02T10:45:00+00:00,6.501736
2024-01-02T11:00:00+00:00,6.165003
2024-01-02T11:15:00+00:00,5.416425
2024-01-02T11:30:00+00:00,5.090664
2024-01-02T11:45:00+00:00,3.930122
2024-01-02T12:00:00+00:00,4.351731
2024-01-02T12:15:00+00:00,4.254316
2024-01-02T12:30:00+00:00,4.764902
2024-01-02T12:45:00+00:00,3.997034
2024-01-02T13:00:00+00:00,3.158517
2024-01-02T13:15:00+00:00,3.469811
2024-01-02T13:30:00+00:00,3.372112
2024-01-02T13:45:00+00:00,2.798
2024-01-02T14:00:00+00:00,3.513455
2024-01-02T14:15:00+00:00,3.259669
2024-01-02T14:30:00+00:00,3.913846
2024-01-02T14:45:00+00:00,3.196132
2024-01-02T15:00:00+00:00,3.253038
2024-01-02T15:15:00+00:00,3.150559
2024-01-02T15:30:00+00:00,2.372323
2024-01-02T15:45:00+00:00,3.214096
2024-01-02T16:00:00+00:00,4.094811
2024-01-02T16:15:00+00:00,3.887924
2024-01-02T16:30:00+00:00,3.448471
2024-01-02T16:45:00+00:00,2.894845
2024-01-02T17:00:00+00:00,3.606289
2024-01-02T17:15:00+00:00,4.792993
2024-01-02T17:30:00+00:00,4.82024
2024-01-02T17:45:00+00:00,4.241175
2024-01-02T18:00:00+00:00,3.265818
2024-01-02T18:15:00+00:00,3.835841
2024-01-02T18:30:00+00:00,4.05394
2024-01-02T18:45:00+00:00,3.375169
2024-01-02T19:00:00+00:00,2.86386
2024-01-02T19:15:00+00:00,3.090278
2024-01-02T19:30:00+00:00,2.111786
2024-01-02T19:45:00+00:00,1.861497
2024-01-02T20:00:00+00:00,2.063079
2024-01-02T20:15:00+00:00,2.372685
2024-01-02T20:30:00+00:00,2.224272
2024-01-02T20:45:00+00:00,2.448881
2024-01-02T21:00:00+00:00,3.30488
